Old URL,New URL,Redirect Type,Redirect Status,Notes
/psycho-tiller,https://sailorskills.notion.site/Psycho-Tiller-Service-Log-559ee5ec9f8b4032aa4936fc3ebb6ad9?pvs=4,Single Redirect,Active,
/ericson-35,https://sailorskills.notion.site/Ericson-35-Service-Log-9ea479814fd141b3b872b541739da4f1,Single Redirect,Active,
/olive,https://sailorskills.notion.site/Olive-Service-Log-2d4b82b7eacc8139889fd253aa8c792d,Single Redirect,Active,
/second-wind,https://sailorskills.notion.site/Second-Wind-Service-Log-263b82b7eacc81e8aa85c72252ed15e6?source=copy_link,Single Redirect,Active,
/lil-bear,https://sailorskills.notion.site/Lil-Bear-Service-Log-2d4b82b7eacc81b9b020e4a28c8f500c?source=copy_link,Single Redirect,Active,
/hattie,https://sailorskills.notion.site/Hattie-98a498fadc5542f98f2dda75b71a0d18,Single Redirect,Active,
/not-applicable,https://sailorskills.notion.site/Not-Applicable-Service-Log-b990676e92454511b5a29f7c6f88c713?pvs=4,Single Redirect,Active,
/ligia,https://sailorskills.notion.site/Ligia-Service-Log-437019b2ef294f48a1e13dbabdfbf92c?pvs=4,Single Redirect,Active,
/sequoia,https://sailorskills.notion.site/Sequoia-Service-Log-1b0b82b7eacc81779a76d24893f6be90?pvs=4,Single Redirect,Active,
/maybe-baby,https://sailorskills.notion.site/Maybe-Baby-e019bd31d0b047e5b9dcc852c031b6bb,Single Redirect,Active,
/dancing-star,https://sailorskills.notion.site/Dancing-Star-Service-Log-dc6be1c8b8e944f3ae88a8397294cd91?pvs=4,Single Redirect,Active,
/adid22,https://sailorskills.notion.site/All-Day-I-Dream-2022-b76817fb9fcd4e1f89d06927797ef55d,Single Redirect,Active,
/elise,https://sailorskills.notion.site/Elise-Service-Log-0612dfdb99f843a784c708b7a4c265b2?pvs=73,Single Redirect,Active,
/sunday-morning,https://sailorskills.notion.site/Sunday-Morning-Service-Log-915c5c42ed634d3891b6303f62f7d8d9,Single Redirect,Active,
/brigadoon,https://sailorskills.notion.site/Brigadoon-9d6454abf62b493995d8b278816fccad,Single Redirect,Active,
/free-spirit,https://sailorskills.notion.site/Free-Spirit-d6f99c561c694e948c8a59286c0427ff,Single Redirect,Active,
/diva,https://sailorskills.notion.site/Diva-Service-Log-13a16185c78347f0af0d1b034dd625f2,Single Redirect,Active,
/portal,https://billing.zoho.com/portal/bottomservice/login#,Single Redirect,Active,
/beleza,https://sailorskills.notion.site/Beleza-e34e73ca7b8043fab0f537f31eadecba,Single Redirect,Active,
/robin,https://sailorskills.notion.site/Robin-Service-Log-1f6b82b7eacc81b1a0b8faa9bb12674b?pvs=4,Single Redirect,Active,
